run_id,method,N,depth,seed,theta_path,iter_csv,optimizer_name,shots
65f6a5e6,tr_correct_sampling,49,6,0,bench_tsp_shot_diff_49_real/theta_65f6a5e6.pt,bench_tsp_shot_diff_49_real/iter_65f6a5e6.csv,RMSprop_003,1000
2cdea0d8,tr_efficient,49,6,0,bench_tsp_shot_diff_49_real/theta_2cdea0d8.pt,bench_tsp_shot_diff_49_real/iter_2cdea0d8.csv,RMSprop_003,1000
a86cce2d,tr_efficient,49,6,1,bench_tsp_shot_diff_49_real/theta_a86cce2d.pt,bench_tsp_shot_diff_49_real/iter_a86cce2d.csv,RMSprop_003,1000
b0c56cca,tr_correct_sampling,49,6,1,bench_tsp_shot_diff_49_real/theta_b0c56cca.pt,bench_tsp_shot_diff_49_real/iter_b0c56cca.csv,RMSprop_003,1000
fba8a13d,tr_efficient,49,6,2,bench_tsp_shot_diff_49_real/theta_fba8a13d.pt,bench_tsp_shot_diff_49_real/iter_fba8a13d.csv,RMSprop_003,1000
3a4365f9,tr_correct_sampling,49,6,2,bench_tsp_shot_diff_49_real/theta_3a4365f9.pt,bench_tsp_shot_diff_49_real/iter_3a4365f9.csv,RMSprop_003,1000
637beaa9,tr_efficient,49,5,0,bench_tsp_shot_diff_49_real/theta_637beaa9.pt,bench_tsp_shot_diff_49_real/iter_637beaa9.csv,RMSprop_003,1000
a4a4ddb7,tr_correct_sampling,49,5,0,bench_tsp_shot_diff_49_real/theta_a4a4ddb7.pt,bench_tsp_shot_diff_49_real/iter_a4a4ddb7.csv,RMSprop_003,1000
10658fdc,tr_efficient,49,5,1,bench_tsp_shot_diff_49_real/theta_10658fdc.pt,bench_tsp_shot_diff_49_real/iter_10658fdc.csv,RMSprop_003,1000
f139fe7e,tr_correct_sampling,49,5,1,bench_tsp_shot_diff_49_real/theta_f139fe7e.pt,bench_tsp_shot_diff_49_real/iter_f139fe7e.csv,RMSprop_003,1000
6f49d0cb,tr_efficient,49,5,2,bench_tsp_shot_diff_49_real/theta_6f49d0cb.pt,bench_tsp_shot_diff_49_real/iter_6f49d0cb.csv,RMSprop_003,1000
e8994cc7,tr_correct_sampling,49,5,2,bench_tsp_shot_diff_49_real/theta_e8994cc7.pt,bench_tsp_shot_diff_49_real/iter_e8994cc7.csv,RMSprop_003,1000
647b7978,tr_efficient,49,4,0,bench_tsp_shot_diff_49_real/theta_647b7978.pt,bench_tsp_shot_diff_49_real/iter_647b7978.csv,RMSprop_003,1000
5bd90347,tr_correct_sampling,49,4,0,bench_tsp_shot_diff_49_real/theta_5bd90347.pt,bench_tsp_shot_diff_49_real/iter_5bd90347.csv,RMSprop_003,1000
ac5c3b64,tr_efficient,49,4,1,bench_tsp_shot_diff_49_real/theta_ac5c3b64.pt,bench_tsp_shot_diff_49_real/iter_ac5c3b64.csv,RMSprop_003,1000
db3dfb79,tr_correct_sampling,49,4,1,bench_tsp_shot_diff_49_real/theta_db3dfb79.pt,bench_tsp_shot_diff_49_real/iter_db3dfb79.csv,RMSprop_003,1000
d2b4d420,tr_efficient,49,4,2,bench_tsp_shot_diff_49_real/theta_d2b4d420.pt,bench_tsp_shot_diff_49_real/iter_d2b4d420.csv,RMSprop_003,1000
9f02653a,tr_correct_sampling,49,4,2,bench_tsp_shot_diff_49_real/theta_9f02653a.pt,bench_tsp_shot_diff_49_real/iter_9f02653a.csv,RMSprop_003,1000
82da5fba,tr_efficient,49,3,0,bench_tsp_shot_diff_49_real/theta_82da5fba.pt,bench_tsp_shot_diff_49_real/iter_82da5fba.csv,RMSprop_003,1000
f27847c1,tr_correct_sampling,49,3,0,bench_tsp_shot_diff_49_real/theta_f27847c1.pt,bench_tsp_shot_diff_49_real/iter_f27847c1.csv,RMSprop_003,1000
250709eb,tr_efficient,49,3,1,bench_tsp_shot_diff_49_real/theta_250709eb.pt,bench_tsp_shot_diff_49_real/iter_250709eb.csv,RMSprop_003,1000
dc7caefd,tr_correct_sampling,49,3,1,bench_tsp_shot_diff_49_real/theta_dc7caefd.pt,bench_tsp_shot_diff_49_real/iter_dc7caefd.csv,RMSprop_003,1000
945fee16,tr_efficient,49,3,2,bench_tsp_shot_diff_49_real/theta_945fee16.pt,bench_tsp_shot_diff_49_real/iter_945fee16.csv,RMSprop_003,1000
43bd642b,tr_correct_sampling,49,3,2,bench_tsp_shot_diff_49_real/theta_43bd642b.pt,bench_tsp_shot_diff_49_real/iter_43bd642b.csv,RMSprop_003,1000
44937f2f,tr_efficient,49,2,0,bench_tsp_shot_diff_49_real/theta_44937f2f.pt,bench_tsp_shot_diff_49_real/iter_44937f2f.csv,RMSprop_003,1000
b6290185,tr_correct_sampling,49,2,0,bench_tsp_shot_diff_49_real/theta_b6290185.pt,bench_tsp_shot_diff_49_real/iter_b6290185.csv,RMSprop_003,1000
a85ae3cc,tr_efficient,49,2,1,bench_tsp_shot_diff_49_real/theta_a85ae3cc.pt,bench_tsp_shot_diff_49_real/iter_a85ae3cc.csv,RMSprop_003,1000
cb79375a,tr_correct_sampling,49,2,1,bench_tsp_shot_diff_49_real/theta_cb79375a.pt,bench_tsp_shot_diff_49_real/iter_cb79375a.csv,RMSprop_003,1000
9fa75f53,tr_efficient,49,2,2,bench_tsp_shot_diff_49_real/theta_9fa75f53.pt,bench_tsp_shot_diff_49_real/iter_9fa75f53.csv,RMSprop_003,1000
d986dbb5,tr_correct_sampling,49,2,2,bench_tsp_shot_diff_49_real/theta_d986dbb5.pt,bench_tsp_shot_diff_49_real/iter_d986dbb5.csv,RMSprop_003,1000
936dabbb,tr_efficient,49,1,0,bench_tsp_shot_diff_49_real/theta_936dabbb.pt,bench_tsp_shot_diff_49_real/iter_936dabbb.csv,RMSprop_003,1000
adfe3d45,tr_correct_sampling,49,1,0,bench_tsp_shot_diff_49_real/theta_adfe3d45.pt,bench_tsp_shot_diff_49_real/iter_adfe3d45.csv,RMSprop_003,1000
66bb0ce2,tr_efficient,49,1,1,bench_tsp_shot_diff_49_real/theta_66bb0ce2.pt,bench_tsp_shot_diff_49_real/iter_66bb0ce2.csv,RMSprop_003,1000
abf44092,tr_correct_sampling,49,1,1,bench_tsp_shot_diff_49_real/theta_abf44092.pt,bench_tsp_shot_diff_49_real/iter_abf44092.csv,RMSprop_003,1000
b2b42026,tr_efficient,49,1,2,bench_tsp_shot_diff_49_real/theta_b2b42026.pt,bench_tsp_shot_diff_49_real/iter_b2b42026.csv,RMSprop_003,1000
08304108,tr_correct_sampling,49,1,2,bench_tsp_shot_diff_49_real/theta_08304108.pt,bench_tsp_shot_diff_49_real/iter_08304108.csv,RMSprop_003,1000
